CUSTOMER_ID,Delivery_Desc,PIN_CODE
1110,"DELIXY11 Dec,202113:30",122002
1111,"CCUBOM18 Dec,202109:35",122002
1112,Amgola Muzaffarpur Rbs academy flyover,842001
1113,14 663 9 Bazar Hyderabad Jumerat,500012
1114,100ft 506 Agra Appartment Dream Kalyani Valley agra appartment dayalbagh heights near kalyani opp road valley,282005
1115,GROUP IBIBO,122002
1116,Ambala Rajput Vpo ambala boh cantt mohalla near pakka rajput talab,133001
1117,GROUP IBIBO,122002
1118,1 3 37 Bowenpally Colony Hyderabad Lane No Plot Raja Reddy Road Secunderabad,500011
1119,264 BEHALA BENGAL DIAMOND HARBOUR JEWELLERS KOLKATA RD RUPAYAN WEST null,700034
1120,Bgs Bhopal President Talkies bank berasia canra honda hotel iasaigaj near road,462001
1121,155 23 3 Delhi Flat New No Pocket Rohini Sector,110085
1122,69 A Aurangabad Devgiri Mitmita Valley,431001
1123,106 12 Agreshen Bhilai E Front G Gatein Ho In Javahar Khurshipar Lal Nehru New Pt Raju Road School Vishwakarma of,490011
1124,3rd Airport B BS2 Chicalim apartments arebian before block floor hotel queeny road sea view,403712
1125,GROUP IBIBO,122002
1126,2 3 Maharashtra Mumbai borivali eksar koliwada mumbai nilkanth niwas no road room west,400092
1127,23 A Ambala Bsnl ambala city exchange jandli sainik vihar,134003
1128,"Nov,202113:15 SXRBOM30",122002
1129,Building House Power Pradhan Ram Road Rourkela,769001
1130,", ,near ,surla 275 GOA, Vedanta dignem hno. near office office, sesa vedanta",403505
1131,156 Behala Kolkata bahadur ray road,700034
1132,2 24 5 60 Colony East Godavari H No P Rajahmundry T and,533105
1133,32 Road Roy Satyajit Siliguri,734006
1134,At District Sambalpur dist jarali laida po sambalpur,768214
1135,"Bank Federal Glamour Madom Mandir,, Mani Maniyoor Opposite Petrol Pump Vellangallur West,",680662
1136,11 A Jaipur Shakti kalyanpura sanganer vistar,302029
1137,"Dec,202111:55 IXMMAA31",122002
